"","Name","Price","Opinions","Product_Weight","Volume","Power","Height","Width","Depth"
"26","Polti Forzaspira C110_Plus Aspirador cicónico sin Bolsa, 2 litros Capacidad depósito de Recogida, 800 W, 80 Decibelios, Rojo",61.99,336,5.2,2,800,28,41,42
"27","Einhell TH-VC 1820 S  -Aspirador seco - húmedo, inox, 180 mbar, 1250 W, 230 V, 80 dB (ref. 2342167)",44.95,95,4.7,2.79065040650406,1250,32.5,41,49
"28","Hosome Aspiradoras Hogar 160W 2 en 1 Aspiradora de Mano sin Cable 20Kpa Fuerte Succión y Eficiente Sistema de Filtración 2200mAh Batería para Pelos de Mascota Alfombra Piso y Autos",93.9065454545455,26,2.5,2.79065040650406,160,23,4,5
"29","Hoover Sprint EVO SE41 Aspirador trineo sin bolsa con filtro EPA, todas las superficies, 700W, nivel de ruido 80dBA, color gris",93.9065454545455,369,4.1,1.5,700,26.5,30,44
"30","Aspiradora de mano Sin Cable 9000PA/120W para coche en seco y húmedo, 68 dB, silenciosa, con sistema de filtro de dos niveles, aspirador con batería de litio de 2600 mAh, carga rápida",93.9065454545455,56,1.18,0.6,120,41.7927401574803,31.3622047244094,34.1574803149606
"31","Robot Aspirador de Alto Rendimiento, Especial Mascotas, Todo Tipo De Suelos, Autonomía Hasta 90 Min, Sensor De Obstaculos, Mando A Distancia Incluido, Tecnología Silenciosa 70 dB. H.Koenig_SWR28",179.9,35,3.2,0.4,24,32,41,62
"32","AmazonBasics - Aspiradora cilíndrica sin bolsa, 2,5  L, 700 W [clase energética A]",69.99,312,6,2.5,700,45.3,42,32
"33","NINNA Aspiradora de Mano Sin Cable,7500PA/120W Potente Aspirador con Luz LED,Filtro de Acero Inoxidable,2500mAh Batería de Litio Recargable,Bajo Nivel de Ruido,3 Boquillas para Hogar y Coche",40.99,43,1.16,2.79065040650406,120,38,56,2
"34","VicTsing Aspiradora de Mano, 6500PA 14.8V Aspirador Mano Sin Cable Potente, Aspiradoras en Uso Seco&Húmedo, 600ml Depósito, con 2 Filtro Lavable +3 Boquillas para Pelo,Liquido,Polvo, Hogar y Coche",38.86,36,1.92,0.6,535.027210884354,41.7927401574803,31.3622047244094,34.1574803149606
"35","Philips PowerPro Compact FC9332/09 - Aspirador con Sistema Ciclonico sin Bolsa, Deposito 1.5 L, Filtro Antialergias, Facil de Limpiar",91.43,63,4.5,1.5,650,41,31,27
"36","BEAUDENS Aspirador Escoba sin Cables, 9000Pa Aspirador Potente 2 Modos, 45 min Tiempo de Ejecución Batería Recargable 2200mAh, 500ml, Sin Bolsa Desmontable Ultraligera Eléctrica Doméstica",99.99,204,3.67131666666667,2.79065040650406,535.027210884354,41.7927401574803,31.3622047244094,34.1574803149606
"37","Homtiky Aspiradora sin Cable, 17000Pa Poderosa Succión LG Bateria Recargable Aspirador sin Cable, LED Brush 2 Velocidades 30 min Aspiradora Escoba para el Hogar, Duro Suelo, Alfombra",93.9065454545455,32,1.8,2.79065040650406,200,120,16,24
"38","Holife Aspiradora de Mano, [Potente Sistema de Succión] Aspirador de Mano Sin Cable 3 en1, Aspiradoras en Seco y Húmedo 600ml de Capacidad, Tiempo Largo de Trabajo, Recargable para Casa, Coche,Negro",35.99,74,1.32,2.79065040650406,70,41.7927401574803,31.3622047244094,34.1574803149606
"39","AmazonBasics - Aspiradora cilíndrica sin bolsa, 2,5  L, 700 W [clase energética A]",69.99,312,6,2.5,700,45.3,42,32
"40","Rowenta Air Force 360 RH9057WO Aspiradora de mano sin cable, cabezal LED, batería Ion-litio 21.9 V, hasta 30 min, sin bolsa, accesorios para suelos, zonas altas, tapicerías, zonas estrechas",188.82,340,2.8,0.4,535.027210884354,114.5,25,28
"41","Hoover Sprint EVO SE61 Aspirador trineo sin bolsa con filtro EPA, ideal parquet y mascotas, 700W, nivel de ruido 80dBA, color azul",87,369,4.1,1.5,700,26.5,30,44
"42","MLITER Aspirador Escoba con Cable 2 en 1, Aspiradora Gran Succión 14KPa, Aspirador de Mano 12 Accesorios, Aspiradora Hogar Ligera Pelo Mascota, Depósito 800ml, Azul y Blanco",42.99,66,2.38,0.8,400,23.8,17,4
"43","Aspiradora de Mano sin Cable, 6500PA Succión Ciclónico Potente Portátil Aspirador con Filtro Lavable Batería Lones Litio 2200mAh Recargable Seco y Húmedo 600ml Depósito para Mascotas, Coche, la Casa",29.99,55,0.699,0.6,120,39,6,12
"44","Aspiradora de Mano Sin Cable,6500PA/120W potente Aspiradora de Succión Ciclónico,Filtro de acero inoxidable,Seco y Húmedo, 2600mAh Batería de litio recargable,68dB Bajo nivel de ruido con 3 Cepillos",93.9065454545455,118,0.862,0.5,100,41.7927401574803,31.3622047244094,34.1574803149606
"45","AmazonBasics - Aspiradora cilíndrica sin bolsa, 1,5L, 700 W [clase energética A]",59.99,116,4.5,1.5,700,36.3,36,27
"46","Aigostar Dino 30ICP - Aspirador ciclónico sin bolsa, 700 W de potencia, 2 tipos de cepillos incluídos, filtro HEPA, silencioso 76dB. Recogida automática de cable. Color rojo. [Clase A].",93.9065454545455,112,5.1,1.8,700,49,33,33
"47","oneday Aspiradoras de Mano con Cable Aspirador Vertical con Cable Succión 15 KPA, Filtro HEPA, Cable de 10M",93.9065454545455,32,1.5,2.79065040650406,535.027210884354,41.7927401574803,31.3622047244094,34.1574803149606
"48","Bosch Flexxo Serie 4 BBH32551 - Aspirador Escoba 2 en 1, sin Cable y de Mano, Autonomía de 55 Minutos, Batería de 25.2 V, Color Blanco",145,139,3.1,0.4,535.027210884354,26.5,13,9
"49","PUWEIKE Aspiradora sin Cable, Aspiradoras Verticales con Potente Succión, 9000 Pa, Diseño 2 en 1, Recargable para Pelos de Mascotas, Piso de Madera y Alfombras, 120W, P80(Azúl)",93.9065454545455,64,3.67131666666667,2.79065040650406,535.027210884354,41.7927401574803,31.3622047244094,34.1574803149606
"50","Cecotec Aspirador Trineo Conga EcoExtreme 3000. Ultra Silencioso, Máxima Potencia, Mínimo Consumo, Capacidad de 3,5 l, Filtro HEPA, Ligero y Manejable",93.9065454545455,402,4.5,2.79065040650406,700,41,29,38
"51","AmazonBasics - Aspiradora cilíndrica sin bolsa, 2,5  L, 700 W [clase energética A]",69.99,312,6,2.5,700,45.3,42,32
"52","Robot Aspirador de Alto Rendimiento, Especial Mascotas, Todo Tipo De Suelos, Autonomía Hasta 90 Min, Sensor De Obstaculos, Mando A Distancia Incluido, Tecnología Silenciosa 70 dB. H.Koenig_SWR28",179.9,35,3.2,0.4,24,32,41,62
"53","Kärcher Aspiradores multiuso WD 2 (1.629-764.0)",55.99,102,23,12,1000,3.7,37,46
"54","NILFISK Buddy II 12 Aspirador de agua, con o sin bolsa, 1200 W, 12 litros, 74 Decibelios, Azul",54.91,77,7.09,12,1200,47,49,40
"55","Roidmi F8 Lite - Aspiradora sin cable, versión EU en Español, 415W, 80.000 RPM, batería hasta 40 mins., depósito 0.4L, color azul",199.9,168,4.78,0.4,535.027210884354,119.1,23,16
"56","Dreame V9 Pro Aspiradora Vertical 20000PA Succión Eficiente Sin Cable Aspira 2500mah Batería Escobas eléctricas [3 años de Garantia]",219.99,19,1.5,0.5,400,122.6,22,23
"57","Taurus NEW-948.129 Vitara 3000 New-Aspiradora con bolsa (diseño compacto, sistema Energy Eco, filtro lavable, capacidad 2 l), blanco, azul y negro, 700 W, 2 litros, 80 Decibelios, Acero Inoxidable",44.99,81,4.1,2,700,41.7927401574803,31.3622047244094,34.1574803149606
"58","Cecotec Aspirador Vertical Conga ThunderBrush 520. Aspirador Vertical 360º 2 en 1, Escoba y de Mano, Tecnología Ciclónica,  Filtro HEPA,  Radio de Acción de 6 Metros, Clase A+, Bajo Consumo, 600 W",39.9,245,1.9,0.5,600,41.7927401574803,31.3622047244094,34.1574803149606
"59","Aspiradora Mano, ONEDAY 6 en 1 Aspirador sin Cable sin Bolsa Seco Tecnología Ciclónica Recargable Vacío 40 min Max Técnica de Carga Rápida para Inicio / Coche / Pelo de Mascota etc. [Negro]",93.9065454545455,264,1.35,0.5,80,41.7927401574803,31.3622047244094,34.1574803149606
"60","AEG LX7-2-CR-A Aspiradora Trineo Sin Bolsa, Especial Mascotas, Co, 750 W, 72 Decibelios, Rojo",134.95,96,7.59,1.4,600,41.7927401574803,31.3622047244094,34.1574803149606
"61","Hoover Sprint EVO SE61 Aspirador trineo sin bolsa con filtro EPA, ideal parquet y mascotas, 700W, nivel de ruido 80dBA, color azul",87,369,4.1,1.5,700,26.5,30,44
"62","Dreame V9 Pro Aspiradora Vertical 20000PA Succión Eficiente Sin Cable Aspira 2500mah Batería Escobas eléctricas [3 años de Garantia]",219.99,19,1.5,0.5,400,122.6,22,23
"63","Kärcher Aspiradores multiuso WD 3 Premium (1.629-863.0)",76,170,5.8,17,1000,38.8,43,53
"64","AEG CX7-2-45AN Aspiradora Escoba Vertical Sin Cable y de Mano Esp, 18 W, 0.5 litros, 79 Decibelios, 2 Velocidades, Rojo",189,177,2.4,0.5,18,26.5,7,8
"65","Philips PowerPro Compact FC9331/09 - Aspirador con sistema Ciclonico sin Bolsa, Deposito 1.5 L, Filtro Antialergias, Facil de Limpiar",109,98,6.1,1.5,650,28.1,52,27
"66","Rowenta X-Trem Power RO6941EA - Aspirador sin bolsa, sistema ciclónico, depósito con capacidad 2.5 L , cepillo para parquet y ranuras, tubo telescópico para todas las zonas, nivel ruido 75 dB",119,49,5.1,2.5,750,28,54,38
"67","Aspirador Escoba sin Cable EYUGLE Aspiradora de Escoba sin Bolsa, 9000 Pa y 4500 Pa, Batería Recargable 2200mAh, Anti-ácaro Cepillo para Hogar, Coche",89.99,73,2.2,0.55,120,104,21,22
"68","10 Bolsas para aspiradora Festool Aspirador CT26 CTL26 CTM26 / CT CTL CTM 26 alternativa a la original SC-FIS-CT 26/5 de Microsafe",34.99,164,3.67131666666667,2.79065040650406,535.027210884354,41.7927401574803,31.3622047244094,34.1574803149606
"69","Kärcher Aspiradores multiuso WD 2 (1.629-764.0)",55.99,102,23,12,1000,3.7,37,46
"70","Robot Aspirador de Alto Rendimiento, Especial Mascotas, Todo Tipo De Suelos, Autonomía Hasta 90 Min, Sensor De Obstaculos, Mando A Distancia Incluido, Tecnología Silenciosa 70 dB. H.Koenig_SWR28",179.9,35,3.2,0.4,24,32,41,62
"71","AmazonBasics - Aspiradora cilíndrica sin bolsa, 2,5  L, 700 W [clase energética A]",69.99,312,6,2.5,700,45.3,42,32
